genus,species,mass_g,kingdom,phylum,class,order,family
Abalistes,Abalistes filamentosus,1375.0,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae
Abalistes,Abalistes stellaris,3711.0,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae
Abatus,Abatus cavernosus,2.7,Animalia,Echinodermata,Echinoidea,Spatangoida,Schizasteridae
Abatus,Abatus curvidens,1.4,Animalia,Echinodermata,Echinoidea,Spatangoida,Schizasteridae
Abatus,Abatus shackletoni,1.9,Animalia,Echinodermata,Echinoidea,Spatangoida,Schizasteridae
Abavorana,Abavorana luctuosa,28.1,Animalia,Chordata,Amphibia,Anura,Ranidae
Abax,Abax ovalis,0.1784,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae
Abax,Abax parallelepipedus,0.3926,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae
Abbottina,Abbottina binhi,1.3,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae
Abbottina,Abbottina obtusirostris,13.5,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae
Abbottina,Abbottina rivularis,49.95,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae
Abditomys,Abditomys latidens,268.5,Animalia,Chordata,Mammalia,Rodentia,Muridae
Abeomelomys,Abeomelomys sevia,55.45,Animalia,Chordata,Mammalia,Rodentia,Muridae
Ablabesmyia,Ablabesmyia annulata,0.001315,Animalia,Arthropoda,Insecta,Diptera,Chironomidae
Ablabesmyia,Ablabesmyia monilis,0.001004,Animalia,Arthropoda,Insecta,Diptera,Chironomidae
Ablennes,Ablennes hians,2949.0,Animalia,Chordata,Actinopterygii,Beloniformes,Belonidae
Ablepharus,Ablepharus bivittatus,4.382,Animalia,Chordata,Reptilia,Squamata,Scincidae
Ablepharus,Ablepharus budaki,1.734,Animalia,Chordata,Reptilia,Squamata,Scincidae
Ablepharus,Ablepharus chernovi,2.345,Animalia,Chordata,Reptilia,Squamata,Scincidae
Ablepharus,Ablepharus darvazi,1.51,Animalia,Chordata,Reptilia,Squamata,Scincidae
Ablepharus,Ablepharus deserti,3.888,Animalia,Chordata,Reptilia,Squamata,Scincidae
Ablepharus,Ablepharus grayanus,0.6595,Animalia,Chordata,Reptilia,Squamata,Scincidae
Ablepharus,Ablepharus kitaibelii,2.866,Animalia,Chordata,Reptilia,Squamata,Scincidae
Ablepharus,Ablepharus lindbergi,2.298,Animalia,Chordata,Reptilia,Squamata,Scincidae
Ablepharus,Ablepharus pannonicus,3.112,Animalia,Chordata,Reptilia,Squamata,Scincidae
Ablepharus,Ablepharus rueppellii,2.603,Animalia,Chordata,Reptilia,Squamata,Scincidae
Abra,Abra alba,0.001727,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae
Abralia,Abralia multihamata,10.0,Animalia,Mollusca,Cephalopoda,Oegopsida,Enoploteuthidae
Abramites,Abramites hypselonotus,35.2,Animalia,Chordata,Actinopterygii,Characiformes,Anostomidae
Abrawayaomys,Abrawayaomys ruschii,63.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae
Abrocoma,Abrocoma bennettii,222.4,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae
Abrocoma,Abrocoma boliviensis,158.0,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae
Abrocoma,Abrocoma budini,291.3,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae
Abrocoma,Abrocoma cinerea,235.9,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae
Abrocoma,Abrocoma famatina,227.6,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae
Abrocoma,Abrocoma shistacea,249.1,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae
Abrocoma,Abrocoma uspallata,245.8,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae
Abrocoma,Abrocoma vaccarum,238.1,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae
Abronia,Abronia anzuetoi,44.51,Animalia,Chordata,Reptilia,Squamata,Anguidae
Abronia,Abronia aurita,34.08,Animalia,Chordata,Reptilia,Squamata,Anguidae
Abronia,Abronia bogerti,11.12,Animalia,Chordata,Reptilia,Squamata,Anguidae
Abronia,Abronia campbelli,36.0,Animalia,Chordata,Reptilia,Squamata,Anguidae
Abronia,Abronia chiszari,12.18,Animalia,Chordata,Reptilia,Squamata,Anguidae
Abronia,Abronia cuchumatanus,4.995,Animalia,Chordata,Reptilia,Squamata,Anguidae
Abronia,Abronia cuetzpali,25.48,Animalia,Chordata,Reptilia,Squamata,Anguidae
Abronia,Abronia deppii,27.96,Animalia,Chordata,Reptilia,Squamata,Anguidae
Abronia,Abronia fimbriata,39.02,Animalia,Chordata,Reptilia,Squamata,Anguidae
Abronia,Abronia frosti,21.82,Animalia,Chordata,Reptilia,Squamata,Anguidae
Abronia,Abronia fuscolabialis,27.89,Animalia,Chordata,Reptilia,Squamata,Anguidae
Abronia,Abronia gadovii,17.45,Animalia,Chordata,Reptilia,Squamata,Anguidae
Abronia,Abronia graminea,20.76,Animalia,Chordata,Reptilia,Squamata,Anguidae
Abronia,Abronia juarezi,7.4,Animalia,Chordata,Reptilia,Squamata,Anguidae
Abronia,Abronia leurolepis,18.58,Animalia,Chordata,Reptilia,Squamata,Anguidae
Abronia,Abronia lythrochila,29.52,Animalia,Chordata,Reptilia,Squamata,Anguidae
